employeeNumber,lastName,firstName,extension,email,officeCode,reportsTo,jobTitle,,,,TEXT FUNTIONS,,,,,,,,,,,,
1002,Murphy,Diane,x5800,dmurphy@classicmodelcars.com,1,NULL,President,,,,,,,,,,,,,,,,
1056,Patterson,Mary,x4611,mpatterso@classicmodelcars.com,1,1002,VP Sales,,,,,,,,,,,,,,,,
1076,Firrelli,Jeff,x9273,jfirrelli@classicmodelcars.com,1,1002,VP Marketing,,,,concatenate,upper ,lower,proper,left,right,mid,find,search,replace,substitute,,
1088,Patterson,William,x4871,wpatterson@classicmodelcars.com,6,1056,Sales Manager (APAC),,, ,William Patterson,WILLIAM PATTERSON,william patterson,William Patterson,Willi,erson,lliam Pa,2,2,Welliam Patterson,William Pattirson,,
1102,Bondur,Gerard,x5408,gbondur@classicmodelcars.com,4,1056,Sale Manager (EMEA),,,,Gerard Bondur,GERARD BONDUR,gerard bondur,Gerard Bondur,Gerar,ondur,rard Bon,#VALUE!,#VALUE!,Gerard Bondur,Girard Bondur,,
1143,Bow,Anthony,x5428,abow@classicmodelcars.com,1,1056,Sales Manager (NA),,,,Anthony Bow,ANTHONY BOW,anthony bow,Anthony Bow,Antho,y Bow,thony Bo,#VALUE!,#VALUE!,Aethony Bow,Aithony Bow,,
1165,Jennings,Leslie,x3291,ljennings@classicmodelcars.com,1,1143,Sales Rep,,,,Leslie Jennings,LESLIE JENNINGS,leslie jennings,Leslie Jennings,Lesli,nings,slie Jen,5,5,Leslie Jennings,Lislii Jinnings,,
1166,Thompson,Leslie,x4065,lthompson@classicmodelcars.com,1,1143,Sales Rep,,,,Leslie Thompson,LESLIE THOMPSON,leslie thompson,Leslie Thompson,Lesli,mpson,slie Tho,5,5,Leslie Thompson,Lislii Thompson,,
1188,Firrelli,Julie,x2173,jfirrelli@classicmodelcars.com,2,1143,Sales Rep,,,,Julie Firrelli,JULIE FIRRELLI,julie firrelli,Julie Firrelli,Julie,relli,lie Firr,4,4,Jelie Firrelli,Jilii Firrilli,,
1216,Patterson,Steve,x4334,spatterson@classicmodelcars.com,2,1143,Sales Rep,,,,Steve Patterson,STEVE PATTERSON,steve patterson,Steve Patterson,Steve,erson,eve Patt,#VALUE!,#VALUE!,Seeve Patterson,Siivi Pattirson,,
1286,Tseng,Foon Yue,x2248,ftseng@classicmodelcars.com,3,1143,Sales Rep,,,,Foon Yue Tseng,FOON YUE TSENG,foon yue tseng,Foon Yue Tseng,Foon ,Tseng,on Yue T,#VALUE!,#VALUE!,Feon Yue Tseng,Fion Yui Tsing,,
1323,Vanauf,George,x4102,gvanauf@classicmodelcars.com,3,1143,Sales Rep,,,,George Vanauf,GEORGE VANAUF,george vanauf,George Vanauf,Georg,anauf,orge Van,#VALUE!,#VALUE!,George Vanauf,Giorgi Vanauf,,
1337,Bondur,Loui,x6493,lbondur@classicmodelcars.com,4,1102,Sales Rep,,,,Loui Bondur,LOUI BONDUR,loui bondur,Loui Bondur,Loui ,ondur,ui Bondu,4,4,Leui Bondur,Liui Bondur,,
1370,Hernandez,Gerard,x2028,ghernande@classicmodelcars.com,4,1102,Sales Rep,,,,Gerard Hernandez,GERARD HERNANDEZ,gerard hernandez,Gerard Hernandez,Gerar,andez,rard Her,#VALUE!,#VALUE!,Gerard Hernandez,Girard Hirnandiz,,
1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,Sales Rep,,,,Pamela Castillo,PAMELA CASTILLO,pamela castillo,Pamela Castillo,Pamel,tillo,mela Cas,12,12,Pemela Castillo,Pimila Castillo,,
1501,Bott,Larry,x2311,lbott@classicmodelcars.com,7,1102,Sales Rep,,,,Larry Bott,LARRY BOTT,larry bott,Larry Bott,Larry, Bott,rry Bott,#VALUE!,#VALUE!,Lerry Bott,Lirry Bott,,
1504,Jones,Barry,x102,bjones@classicmodelcars.com,7,1102,Sales Rep,,,,Barry Jones,BARRY JONES,barry jones,Barry Jones,Barry,Jones,rry Jone,#VALUE!,#VALUE!,Berry Jones,Birry Jonis,,
1611,Fixter,Andy,x101,afixter@classicmodelcars.com,6,1088,Sales Rep,,,,Andy Fixter,ANDY FIXTER,andy fixter,Andy Fixter,Andy ,ixter,dy Fixte,7,7,Aedy Fixter,Aidy Fixtir,,
1612,Marsh,Peter,x102,pmarsh@classicmodelcars.com,6,1088,Sales Rep,,,,Peter Marsh,PETER MARSH,peter marsh,Peter Marsh,Peter,Marsh,ter Mars,#VALUE!,#VALUE!,Peter Marsh,Pitir Marsh,,
1619,King,Tom,x103,tking@classicmodelcars.com,6,1088,Sales Rep,,,,Tom King,TOM KING,tom king,Tom King,Tom K, King,m King,6,6,Tem King,Tim King,,
1621,Nishi,Mami,x101,mnishi@classicmodelcars.com,5,1056,Sales Rep,,,,Mami Nishi,MAMI NISHI,mami nishi,Mami Nishi,Mami ,Nishi,mi Nishi,4,4,Memi Nishi,Mimi Nishi,,
1625,Kato,Yoshimi,x102,ykato@classicmodelcars.com,5,1621,Sales Rep,,,,Yoshimi Kato,YOSHIMI KATO,yoshimi kato,Yoshimi Kato,Yoshi, Kato,shimi Ka,5,5,Yeshimi Kato,Yishimi Kato,,
1702,Gerard,Martin,x2312,mgerard@classicmodelcars.com,4,1102,Sales Rep,,,,Martin Gerard,MARTIN GERARD,martin gerard,Martin Gerard,Marti,erard,rtin Ger,5,5,Mertin Gerard,Mirtin Girard,,
